population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,6,5-9 years,494,Stroke,1,Number,2014,115.6390588847078,139.2072353967359,94.57535993675346
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,6,5-9 years,494,Stroke,1,Number,2014,113.73536974094249,142.48171545885327,93.32602239706812
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,7,10-14 years,494,Stroke,1,Number,2014,183.48603245545635,209.54332501222044,156.46811465288948
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,7,10-14 years,494,Stroke,1,Number,2014,155.116636979154,181.6284376171111,131.6842253852164
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,8,15-19 years,494,Stroke,1,Number,2014,506.9674413212442,578.67736785712,442.39582580483756
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,8,15-19 years,494,Stroke,1,Number,2014,461.37659035462343,537.3316180593434,401.11818588697656
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,9,20-24 years,494,Stroke,1,Number,2014,704.0558134376068,789.2167972342701,625.6864499462527
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,9,20-24 years,494,Stroke,1,Number,2014,567.2084756418957,643.8483493127372,501.36627854789674
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,10,25-29 years,494,Stroke,1,Number,2014,951.5175973955661,1066.7772359459152,847.2637341926269
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,10,25-29 years,494,Stroke,1,Number,2014,798.8405892654836,904.899225880106,708.9956241708632
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,11,30-34 years,494,Stroke,1,Number,2014,1464.1200118381935,1625.7456316151195,1303.9413821202174
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,11,30-34 years,494,Stroke,1,Number,2014,1273.2714062645975,1408.8668301136404,1134.1214106489115
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,12,35-39 years,494,Stroke,1,Number,2014,2218.8099041752703,2426.538786471352,2020.33803175807
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,12,35-39 years,494,Stroke,1,Number,2014,1967.9796052620543,2148.233621886014,1807.870297296054
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,13,40-44 years,494,Stroke,1,Number,2014,3637.0421540274456,3924.3172333867137,3369.7226803190947
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,13,40-44 years,494,Stroke,1,Number,2014,3196.0401762527017,3449.2852410535597,2973.860566979513
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,14,45-49 years,494,Stroke,1,Number,2014,5867.266032412305,6259.2697647636005,5493.758535694239
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,14,45-49 years,494,Stroke,1,Number,2014,4945.738702779824,5226.508180133474,4666.834343777215
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,15,50-54 years,494,Stroke,1,Number,2014,9412.36089771585,10085.722843221845,8830.69315007121
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,15,50-54 years,494,Stroke,1,Number,2014,7346.1580727468745,7732.391723442483,6944.620980906898
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,16,55-59 years,494,Stroke,1,Number,2014,13023.067636258578,13879.350266526077,12258.03308325665
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,16,55-59 years,494,Stroke,1,Number,2014,9569.501228257284,10151.036363433364,9051.816800536732
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,17,60-64 years,494,Stroke,1,Number,2014,17082.369321415783,18071.453845934262,16129.773214333145
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,17,60-64 years,494,Stroke,1,Number,2014,12285.806809114703,13072.29443879193,11549.060326599136
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,18,65-69 years,494,Stroke,1,Number,2014,20911.207359639666,22111.809245156222,19687.3511054157
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,18,65-69 years,494,Stroke,1,Number,2014,15976.09434270658,16863.834284932935,15028.252545395722
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,19,70-74 years,494,Stroke,1,Number,2014,25999.79695229809,27436.343994120696,24522.42697776138
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,19,70-74 years,494,Stroke,1,Number,2014,22117.867739546422,23519.255038452106,20476.354410497617
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,20,75-79 years,494,Stroke,1,Number,2014,30228.582110779582,31897.203297792996,28395.209361365105
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,20,75-79 years,494,Stroke,1,Number,2014,30534.80548157493,32537.954786702183,27834.01656199206
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,21,80+ years,494,Stroke,1,Number,2014,82786.95560603666,90621.11339964288,72870.13357666577
